ccode1,cowName1,ccode2,cowName2,signDay,signMonth,signYear,EIFDay,EIFMonth,EIFYear,type,category1,category2,category3,span,renewType,renewYears,terminated,durationActual,endYearEstimate,asymmetry,categoryConf,UNTS,fullText,sourceType,source,factivaConf,factivaSign,factivaEIF,DCAid
540,ANG,552,ZIM,14,10,2006,,,,general,DCA,TREX,,,,,-88,,2010,0,med,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1623
540,ANG,560,SAF,17,2,2005,,,,general,DCA,,,,,,-88,,2010,1,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1624
541,MZM,541,MZM,29,4,1982,,,,sector,TREX,,,,,,-88,,1988,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1625
541,MZM,552,ZIM,10,6,1988,,,,general,DCA,,,,,,-88,,1994,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1626
541,MZM,560,SAF,16,3,2000,,,,general,DCA,,,,,,-88,,2006,0,high,,N,treaty,South Africa Treaty Series,,,,DCADv1.0-1627
541,MZM,560,SAF,20,11,2007,20,11,2007,sector,COMMISSION,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1628
541,MZM,620,LIB,16,7,2002,,,,sector,TREX,,,,,,-88,,2008,0,low,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1629
541,MZM,630,IRN,16,9,1996,,,,general,DCA,,,,,,-88,,2002,0,low,,,factiva,"Wires, newspapers, transcripts",1,1,,DCADv1.0-1630
541,MZM,750,IND,8,3,2006,,,,sector,TREX,DCA,,,,,-88,,2010,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1631
551,ZAM,560,SAF,25,7,2002,5,7,2002,general,DCA,,,5,-57,5,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1632
552,ZIM,560,SAF,2,2,1996,,,,general,DCA,,,,,,-88,,2002,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1633
552,ZIM,560,SAF,17,11,2005,17,11,2005,sector,COMMISSION,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1634
552,ZIM,651,EGY,16,12,1993,,,,general,DCA,,,,,,-88,,1999,1,med,,N,treaty,Egypt Ministry of Foreign Affairs,,,,DCADv1.0-1635
552,ZIM,710,CHN,31,7,2006,,,,sector,TREX,DCA,,2,,,-88,,2008,1,atypical,,,factiva,"Wires, newspapers, transcripts",2,1,,DCADv1.0-1636
552,ZIM,770,PAK,22,8,2007,,,,sector,TREX,,,2,,,-88,,2009,1,atypical,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1637
553,MAW,560,SAF,25,2,2008,25,2,2008,general,DCA,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1638
560,SAF,565,NAM,10,6,1997,10,6,1997,sector,COMMISSION,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1639
560,SAF,565,NAM,10,6,1997,10,6,1997,general,DCA,,,-77,-77,-77,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1640
560,SAF,570,LES,31,3,2000,31,3,2000,general,DCA,,,,,,0,,2010,0,low,,N,treaty,South Africa Treaty Series,,,,DCADv1.0-1641
560,SAF,571,BOT,30,6,2000,30,6,2000,sector,COMMISSION,DCA,,,,,0,,2010,0,med,,N,treaty,South Africa Treaty Series,,,,DCADv1.0-1642
560,SAF,615,ALG,16,2,1998,,,,sector,PROCUREMENT,DIC,,,,,-88,,2004,0,low,,,factiva,"Wires, newspapers, transcripts",4,1,,DCADv1.0-1643
560,SAF,615,ALG,23,9,2000,,,,general,DCA,DIC,PROCUREMENT,,,,-88,,2006,0,low,,,factiva,"Wires, newspapers, transcripts",3,1,,DCADv1.0-1644
560,SAF,616,TUN,6,5,2005,6,5,2005,general,DCA,,,5,-66,-66,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1645
560,SAF,625,SUD,7,11,2007,7,11,2007,general,DCA,,,5,-55,-55,0,,2010,0,high,,Y,treaty,South Africa Treaty Series,,,,DCADv1.0-1646
